domain,week,year,visits
acl.gov,34,2020,3699
acl.gov,35,2020,25400
acl.gov,36,2020,30193
acl.gov,37,2020,26752
acl.gov,38,2020,27895
acl.gov,39,2020,29694
acl.gov,40,2020,25261
acl.gov,41,2020,29748
acl.gov,42,2020,26217
acl.gov,43,2020,28395
acl.gov,44,2020,31611
acl.gov,45,2020,25946
acl.gov,46,2020,27560
acl.gov,47,2020,34008
acl.gov,48,2020,18996
acl.gov,49,2020,28889
acl.gov,50,2020,25941
acl.gov,51,2020,25455
acl.gov,52,2020,19828
acl.gov,53,2020,18654
agingstats.gov,44,2020,299
agingstats.gov,49,2020,126
ahrq.gov,1,2020,52918
ahrq.gov,2,2020,114180
ahrq.gov,3,2020,127133
ahrq.gov,4,2020,131858
ahrq.gov,5,2020,136045
ahrq.gov,6,2020,145841
ahrq.gov,7,2020,147449
ahrq.gov,8,2020,147178
ahrq.gov,9,2020,147549
ahrq.gov,10,2020,144855
ahrq.gov,11,2020,137181
ahrq.gov,12,2020,116043
ahrq.gov,13,2020,127006
ahrq.gov,14,2020,127937
ahrq.gov,15,2020,132407
ahrq.gov,16,2020,143972
ahrq.gov,17,2020,146962
ahrq.gov,18,2020,134556
ahrq.gov,19,2020,117599
ahrq.gov,20,2020,120417
ahrq.gov,21,2020,117902
ahrq.gov,22,2020,119294
ahrq.gov,23,2020,122912
ahrq.gov,24,2020,120401
ahrq.gov,25,2020,115151
ahrq.gov,26,2020,124005
ahrq.gov,27,2020,110480
ahrq.gov,28,2020,122871
ahrq.gov,29,2020,129573
ahrq.gov,30,2020,122806
ahrq.gov,31,2020,119209
ahrq.gov,32,2020,116735
ahrq.gov,33,2020,117670
ahrq.gov,34,2020,114989
ahrq.gov,35,2020,120802
ahrq.gov,36,2020,131639
ahrq.gov,37,2020,141750
ahrq.gov,38,2020,155323
ahrq.gov,39,2020,152787
ahrq.gov,40,2020,153190
ahrq.gov,41,2020,162274
ahrq.gov,42,2020,163963
ahrq.gov,43,2020,158561
ahrq.gov,44,2020,159827
ahrq.gov,45,2020,175617
ahrq.gov,46,2020,179193
ahrq.gov,47,2020,151212
ahrq.gov,48,2020,122342
ahrq.gov,49,2020,140405
ahrq.gov,50,2020,119149
ahrq.gov,51,2020,102559
ahrq.gov,52,2020,69080
ahrq.gov,53,2020,81366
cancer.gov,1,2020,653832
cancer.gov,2,2020,1252099
cancer.gov,3,2020,1388817
cancer.gov,4,2020,1400085
cancer.gov,5,2020,1414920
cancer.gov,6,2020,1521016
cancer.gov,7,2020,1484147
cancer.gov,8,2020,1502757
cancer.gov,9,2020,1525902
cancer.gov,10,2020,1529407
cancer.gov,11,2020,1461463
cancer.gov,12,2020,1449713
cancer.gov,13,2020,1615719
cancer.gov,14,2020,1526314
cancer.gov,15,2020,1296427
cancer.gov,16,2020,1434390
cancer.gov,17,2020,1602095
cancer.gov,18,2020,1567022
cancer.gov,19,2020,1387653
cancer.gov,20,2020,1341466
cancer.gov,21,2020,1287036
cancer.gov,22,2020,1228231
