domain,week,visits,year
60plus.smokefree.gov,6,249,2019
60plus.smokefree.gov,9,103,2019
60plus.smokefree.gov,14,103,2019
60plus.smokefree.gov,17,102,2019
60plus.smokefree.gov,18,213,2019
60plus.smokefree.gov,19,101,2019
60plus.smokefree.gov,21,101,2019
60plus.smokefree.gov,27,3917,2019
60plus.smokefree.gov,28,11937,2019
60plus.smokefree.gov,29,12141,2019
60plus.smokefree.gov,30,10779,2019
60plus.smokefree.gov,31,7567,2019
60plus.smokefree.gov,32,9318,2019
60plus.smokefree.gov,33,531,2019
60plus.smokefree.gov,34,349,2019
60plus.smokefree.gov,35,221,2019
60plus.smokefree.gov,36,232,2019
60plus.smokefree.gov,37,414,2019
60plus.smokefree.gov,38,216,2019
60plus.smokefree.gov,39,434,2019
60plus.smokefree.gov,40,239,2019
60plus.smokefree.gov,42,243,2019
60plus.smokefree.gov,44,103,2019
60plus.smokefree.gov,45,103,2019
60plus.smokefree.gov,46,241,2019
60plus.smokefree.gov,47,220,2019
aasis.omha.hhs.gov,1,649,2019
aasis.omha.hhs.gov,2,1166,2019
aasis.omha.hhs.gov,3,1119,2019
aasis.omha.hhs.gov,4,1003,2019
aasis.omha.hhs.gov,5,964,2019
aasis.omha.hhs.gov,6,982,2019
aasis.omha.hhs.gov,7,974,2019
aasis.omha.hhs.gov,8,962,2019
aasis.omha.hhs.gov,9,935,2019
aasis.omha.hhs.gov,10,924,2019
aasis.omha.hhs.gov,11,1009,2019
aasis.omha.hhs.gov,12,963,2019
aasis.omha.hhs.gov,13,988,2019
aasis.omha.hhs.gov,14,987,2019
aasis.omha.hhs.gov,15,1031,2019
aasis.omha.hhs.gov,16,1004,2019
aasis.omha.hhs.gov,17,1003,2019
aasis.omha.hhs.gov,18,1038,2019
aasis.omha.hhs.gov,19,1046,2019
aasis.omha.hhs.gov,20,1162,2019
aasis.omha.hhs.gov,21,1005,2019
aasis.omha.hhs.gov,22,837,2019
aasis.omha.hhs.gov,23,1026,2019
aasis.omha.hhs.gov,24,1150,2019
aasis.omha.hhs.gov,25,1041,2019
aasis.omha.hhs.gov,26,1105,2019
aasis.omha.hhs.gov,27,720,2019
aasis.omha.hhs.gov,28,1042,2019
aasis.omha.hhs.gov,29,972,2019
aasis.omha.hhs.gov,30,1065,2019
aasis.omha.hhs.gov,31,1030,2019
aasis.omha.hhs.gov,32,1049,2019
aasis.omha.hhs.gov,33,1064,2019
aasis.omha.hhs.gov,34,1001,2019
aasis.omha.hhs.gov,35,969,2019
aasis.omha.hhs.gov,36,817,2019
aasis.omha.hhs.gov,37,1055,2019
aasis.omha.hhs.gov,38,1082,2019
aasis.omha.hhs.gov,39,1014,2019
aasis.omha.hhs.gov,40,1033,2019
aasis.omha.hhs.gov,41,993,2019
aasis.omha.hhs.gov,42,1041,2019
aasis.omha.hhs.gov,43,1033,2019
aasis.omha.hhs.gov,44,993,2019
aasis.omha.hhs.gov,45,1028,2019
aasis.omha.hhs.gov,46,1088,2019
aasis.omha.hhs.gov,47,1012,2019
aasis.omha.hhs.gov,48,556,2019
aasis.omha.hhs.gov,49,1022,2019
aasis.omha.hhs.gov,50,1034,2019
aasis.omha.hhs.gov,51,881,2019
aasis.omha.hhs.gov,52,410,2019
accessdata.fda.gov,1,212162,2019
accessdata.fda.gov,2,334749,2019
accessdata.fda.gov,3,337281,2019
accessdata.fda.gov,4,336673,2019
accessdata.fda.gov,5,352280,2019
accessdata.fda.gov,6,340163,2019
accessdata.fda.gov,7,359525,2019
accessdata.fda.gov,8,340889,2019
accessdata.fda.gov,9,361787,2019
accessdata.fda.gov,10,350581,2019
accessdata.fda.gov,11,352553,2019
accessdata.fda.gov,12,352493,2019
accessdata.fda.gov,13,351780,2019
accessdata.fda.gov,14,351351,2019
accessdata.fda.gov,15,362730,2019
accessdata.fda.gov,16,333344,2019
accessdata.fda.gov,17,345678,2019
accessdata.fda.gov,18,320732,2019
accessdata.fda.gov,19,357376,2019
accessdata.fda.gov,20,370807,2019
accessdata.fda.gov,21,359300,2019
accessdata.fda.gov,22,320846,2019
accessdata.fda.gov,23,338805,2019
accessdata.fda.gov,24,353516,2019
accessdata.fda.gov,25,359442,2019
accessdata.fda.gov,26,352102,2019
accessdata.fda.gov,27,310571,2019
accessdata.fda.gov,28,360975,2019
accessdata.fda.gov,29,370614,2019
accessdata.fda.gov,30,369171,2019
accessdata.fda.gov,31,356553,2019
accessdata.fda.gov,32,345511,2019
accessdata.fda.gov,33,330337,2019
accessdata.fda.gov,34,358139,2019
accessdata.fda.gov,35,355775,2019
accessdata.fda.gov,36,327301,2019
accessdata.fda.gov,37,362824,2019
accessdata.fda.gov,38,375719,2019
accessdata.fda.gov,39,384814,2019
accessdata.fda.gov,40,346813,2019
accessdata.fda.gov,41,351301,2019
accessdata.fda.gov,42,363511,2019
accessdata.fda.gov,43,363822,2019
accessdata.fda.gov,44,360585,2019
accessdata.fda.gov,45,379781,2019
accessdata.fda.gov,46,371626,2019
accessdata.fda.gov,47,379397,2019
accessdata.fda.gov,48,287817,2019
accessdata.fda.gov,49,354999,2019
accessdata.fda.gov,50,351569,2019
accessdata.fda.gov,51,312802,2019
accessdata.fda.gov,52,196734,2019
accessgudid.nlm.nih.gov,1,15331,2019
accessgudid.nlm.nih.gov,2,26090,2019
accessgudid.nlm.nih.gov,3,25828,2019
accessgudid.nlm.nih.gov,4,26874,2019
accessgudid.nlm.nih.gov,5,27430,2019
