domain,week,visits,year
3dprint.nih.gov,1,5045,2022
3dprint.nih.gov,2,5164,2022
3dprint.nih.gov,3,5292,2022
3dprint.nih.gov,4,5144,2022
3dprint.nih.gov,5,4893,2022
3dprint.nih.gov,6,4914,2022
3dprint.nih.gov,7,5444,2022
3dprint.nih.gov,8,4631,2022
3dprint.nih.gov,9,4506,2022
3dprint.nih.gov,10,4337,2022
3dprint.nih.gov,11,4247,2022
3dprint.nih.gov,12,4510,2022
3dprint.nih.gov,13,4555,2022
3dprint.nih.gov,14,4525,2022
3dprint.nih.gov,15,4040,2022
3dprint.nih.gov,16,4231,2022
3dprint.nih.gov,17,4124,2022
3dprint.nih.gov,18,4099,2022
3dprint.nih.gov,19,3613,2022
3dprint.nih.gov,20,3737,2022
3dprint.nih.gov,21,3781,2022
3dprint.nih.gov,22,3542,2022
3dprint.nih.gov,23,3735,2022
3dprint.nih.gov,24,3509,2022
3dprint.nih.gov,25,3827,2022
3dprint.nih.gov,26,3402,2022
3dprint.nih.gov,27,3479,2022
3dprint.nih.gov,28,3371,2022
3dprint.nih.gov,29,3790,2022
3dprint.nih.gov,30,3370,2022
3dprint.nih.gov,31,3221,2022
3dprint.nih.gov,32,3491,2022
3dprint.nih.gov,33,3682,2022
3dprint.nih.gov,34,3459,2022
3dprint.nih.gov,35,3656,2022
3dprint.nih.gov,36,3727,2022
3dprint.nih.gov,37,4011,2022
3dprint.nih.gov,38,3580,2022
3dprint.nih.gov,39,4177,2022
3dprint.nih.gov,40,4189,2022
3dprint.nih.gov,41,4584,2022
3dprint.nih.gov,42,4652,2022
3dprint.nih.gov,43,4273,2022
3dprint.nih.gov,44,4700,2022
3dprint.nih.gov,45,4809,2022
3dprint.nih.gov,46,4825,2022
3dprint.nih.gov,47,4281,2022
3dprint.nih.gov,48,4822,2022
3dprint.nih.gov,49,4697,2022
3dprint.nih.gov,50,4101,2022
3dprint.nih.gov,51,3331,2022
3dprint.nih.gov,52,3071,2022
4innovation-impl.cms.gov,2,182,2022
4innovation-impl.cms.gov,4,118,2022
4innovation-impl.cms.gov,8,328,2022
4innovation-impl.cms.gov,13,122,2022
4innovation-impl.cms.gov,16,133,2022
4innovation-impl.cms.gov,17,453,2022
4innovation-impl.cms.gov,21,168,2022
4innovation-impl.cms.gov,24,237,2022
4innovation-impl.cms.gov,32,259,2022
4innovation-impl.cms.gov,44,1540,2022
4innovation-impl.cms.gov,50,126,2022
4innovation-impl.cms.gov,51,106,2022
4innovation-test.cms.gov,1,400,2022
4innovation-test.cms.gov,2,122,2022
4innovation-test.cms.gov,3,322,2022
4innovation-test.cms.gov,5,942,2022
4innovation-test.cms.gov,6,897,2022
4innovation-test.cms.gov,7,234,2022
4innovation-test.cms.gov,8,115,2022
4innovation-test.cms.gov,9,304,2022
4innovation-test.cms.gov,10,241,2022
4innovation-test.cms.gov,11,618,2022
4innovation-test.cms.gov,12,285,2022
4innovation-test.cms.gov,13,269,2022
4innovation-test.cms.gov,16,240,2022
4innovation-test.cms.gov,18,560,2022
4innovation-test.cms.gov,19,343,2022
4innovation-test.cms.gov,20,370,2022
4innovation-test.cms.gov,21,289,2022
4innovation-test.cms.gov,22,330,2022
4innovation-test.cms.gov,23,500,2022
4innovation-test.cms.gov,30,207,2022
4innovation-test.cms.gov,35,140,2022
4innovation-test.cms.gov,36,152,2022
