domain,week,visits
cdc.gov,1,44289308
cdc.gov,2,38001693
cdc.gov,3,32277011
cdc.gov,4,27006508
cdc.gov,5,22959044
cdc.gov,6,21423295
cdc.gov,7,19768200
cdc.gov,8,20867544
cdc.gov,9,21624127
cdc.gov,10,18944185
cdc.gov,11,18217540
cdc.gov,12,18086375
cdc.gov,13,19410052
cdc.gov,14,19208456
cdc.gov,15,17580086
cdc.gov,16,18797216
cdc.gov,17,18846144
cdc.gov,18,19337117
cdc.gov,19,20357180
cdc.gov,20,24472181
cdc.gov,21,23294969
cdc.gov,22,19774388
cdc.gov,23,20136358
cdc.gov,24,18168536
cdc.gov,25,18283101
cdc.gov,26,17526206
cdc.gov,27,17291968
cdc.gov,28,18813451
cdc.gov,29,20617956
cdc.gov,30,21463766
cdc.gov,31,24041870
cdc.gov,32,21159232
cdc.gov,33,19285552
cdc.gov,34,17389925
cdc.gov,35,16794098
cdc.gov,36,16628313
cdc.gov,37,17605541
cdc.gov,38,18146061
cdc.gov,39,17828241
cdc.gov,40,17628762
cdc.gov,41,17893825
cdc.gov,42,18653799
cdc.gov,43,18830872
cdc.gov,44,18385017
cdc.gov,45,18310194
cdc.gov,46,18094248
cdc.gov,47,16332761
cdc.gov,48,18244669
cdc.gov,49,18144135
cdc.gov,50,17603636
cdc.gov,51,15120792
cdc.gov,52,12555489
covid.cdc.gov,1,1940304
covid.cdc.gov,2,1542653
covid.cdc.gov,3,1236438
covid.cdc.gov,4,1041264
covid.cdc.gov,5,1009908
covid.cdc.gov,6,1039285
covid.cdc.gov,7,985307
covid.cdc.gov,8,1123188
covid.cdc.gov,9,1039296
covid.cdc.gov,10,861278
covid.cdc.gov,11,881399
covid.cdc.gov,12,772001
covid.cdc.gov,13,1170996
covid.cdc.gov,14,868837
covid.cdc.gov,15,892971
covid.cdc.gov,16,722212
covid.cdc.gov,17,679338
covid.cdc.gov,18,712741
covid.cdc.gov,19,784103
covid.cdc.gov,20,1067774
covid.cdc.gov,21,739849
covid.cdc.gov,22,705775
covid.cdc.gov,23,735335
covid.cdc.gov,24,638003
covid.cdc.gov,25,580813
covid.cdc.gov,26,591121
covid.cdc.gov,27,651967
covid.cdc.gov,28,774649
covid.cdc.gov,29,736260
covid.cdc.gov,30,615118
covid.cdc.gov,31,540099
covid.cdc.gov,32,534220
covid.cdc.gov,33,457518
covid.cdc.gov,34,414957
covid.cdc.gov,35,389701
covid.cdc.gov,36,360541
covid.cdc.gov,37,361735
covid.cdc.gov,38,367539
covid.cdc.gov,39,372374
covid.cdc.gov,40,397232
covid.cdc.gov,41,383282
covid.cdc.gov,42,395521
covid.cdc.gov,43,343892
covid.cdc.gov,44,322783
covid.cdc.gov,45,291464
covid.cdc.gov,46,295565
covid.cdc.gov,47,266037
covid.cdc.gov,48,343711
covid.cdc.gov,49,377112
covid.cdc.gov,50,373000
covid.cdc.gov,51,274262
covid.cdc.gov,52,264795
covid.gov,13,1098774
covid.gov,14,856956
covid.gov,15,749403
covid.gov,16,773881
covid.gov,17,693667
covid.gov,18,821712
covid.gov,19,950515
covid.gov,20,9553460
covid.gov,21,2058119
covid.gov,22,2791298
covid.gov,23,1560049
covid.gov,24,1249913
covid.gov,25,1222938
covid.gov,26,1165747
covid.gov,27,3318439
covid.gov,28,2279778
covid.gov,29,1891811
covid.gov,30,1731154
covid.gov,31,1369573
covid.gov,32,1170405
covid.gov,33,1020286
covid.gov,34,1382284
covid.gov,35,5386389
covid.gov,36,605330
covid.gov,37,476928
covid.gov,38,392240
covid.gov,39,313539
covid.gov,40,274651
covid.gov,41,262980
covid.gov,42,258386
covid.gov,43,250545
covid.gov,44,252234
covid.gov,45,231893
covid.gov,46,256091
covid.gov,47,254655
covid.gov,48,338960
covid.gov,49,341867
covid.gov,50,8626763
covid.gov,51,3747489
covid.gov,52,1328979
covidtests.gov,2,4238088
covidtests.gov,3,68897607
covidtests.gov,4,8100007
covidtests.gov,5,4210724
covidtests.gov,6,2507416
covidtests.gov,7,1696742
covidtests.gov,8,1212354
covidtests.gov,9,1897008
covidtests.gov,10,8084340
covidtests.gov,11,2355507
covidtests.gov,12,1252673
