report_name,report_agency,domain,visits,week,year
domain,health-human-services,cdc.gov,651714,52,2019
domain,health-human-services,vaccines.gov,3420,52,2019
domain,health-human-services,cdc.gov,630093,52,2019
domain,health-human-services,vaccines.gov,3030,52,2019
domain,health-human-services,cdc.gov,776110,52,2019
domain,health-human-services,vaccines.gov,3943,52,2019
domain,health-human-services,cdc.gov,744727,52,2019
domain,health-human-services,vaccines.gov,3895,52,2019
domain,health-human-services,cdc.gov,494582,52,2019
domain,health-human-services,vaccines.gov,2396,52,2019
domain,health-human-services,cdc.gov,549572,52,2019
domain,health-human-services,vaccines.gov,2663,52,2019
domain,health-human-services,cdc.gov,745395,52,2019
domain,health-human-services,vaccines.gov,3899,52,2019
domain,health-human-services,cdc.gov,581135,51,2019
domain,health-human-services,vaccines.gov,2900,51,2019
domain,health-human-services,cdc.gov,577920,51,2019
domain,health-human-services,vaccines.gov,2789,51,2019
domain,health-human-services,cdc.gov,805162,51,2019
domain,health-human-services,vaccines.gov,4360,51,2019
domain,health-human-services,cdc.gov,945171,51,2019
domain,health-human-services,vaccines.gov,6037,51,2019
domain,health-human-services,cdc.gov,991765,51,2019
domain,health-human-services,vaccines.gov,6744,51,2019
domain,health-human-services,cdc.gov,1021584,51,2019
domain,health-human-services,vaccines.gov,7573,51,2019
domain,health-human-services,cdc.gov,673129,51,2019
domain,health-human-services,vaccines.gov,5522,51,2019
domain,health-human-services,cdc.gov,683039,50,2019
domain,health-human-services,vaccines.gov,4966,50,2019
domain,health-human-services,cdc.gov,623286,50,2019
domain,health-human-services,vaccines.gov,4215,50,2019
domain,health-human-services,cdc.gov,919572,50,2019
domain,health-human-services,vaccines.gov,6413,50,2019
domain,health-human-services,cdc.gov,1068908,50,2019
domain,health-human-services,vaccines.gov,8113,50,2019
domain,health-human-services,cdc.gov,1150553,50,2019
domain,health-human-services,vaccines.gov,8831,50,2019
domain,health-human-services,cdc.gov,1197845,50,2019
domain,health-human-services,vaccines.gov,9261,50,2019
domain,health-human-services,cdc.gov,1203512,50,2019
domain,health-human-services,vaccines.gov,9411,50,2019
domain,health-human-services,cdc.gov,820937,49,2019
domain,health-human-services,vaccines.gov,6358,49,2019
domain,health-human-services,cdc.gov,705999,49,2019
domain,health-human-services,vaccines.gov,4859,49,2019
domain,health-human-services,cdc.gov,1030573,49,2019
domain,health-human-services,vaccines.gov,7462,49,2019
domain,health-human-services,cdc.gov,1185736,49,2019
domain,health-human-services,vaccines.gov,9487,49,2019
domain,health-human-services,cdc.gov,1247236,49,2019
domain,health-human-services,vaccines.gov,10112,49,2019
domain,health-human-services,cdc.gov,1244290,49,2019
domain,health-human-services,vaccines.gov,10524,49,2019
domain,health-human-services,cdc.gov,1213190,49,2019
domain,health-human-services,vaccines.gov,9851,49,2019
domain,health-human-services,cdc.gov,839460,48,2019
domain,health-human-services,vaccines.gov,6199,48,2019
domain,health-human-services,cdc.gov,685535,48,2019
domain,health-human-services,vaccines.gov,4568,48,2019
domain,health-human-services,cdc.gov,729082,48,2019
domain,health-human-services,vaccines.gov,5116,48,2019
domain,health-human-services,cdc.gov,750594,48,2019
domain,health-human-services,vaccines.gov,5361,48,2019
domain,health-human-services,cdc.gov,1129364,48,2019
domain,health-human-services,vaccines.gov,7347,48,2019
domain,health-human-services,cdc.gov,1282153,48,2019
domain,health-human-services,vaccines.gov,9093,48,2019
domain,health-human-services,cdc.gov,1337973,48,2019
domain,health-human-services,vaccines.gov,9497,48,2019
domain,health-human-services,cdc.gov,949620,47,2019
domain,health-human-services,vaccines.gov,6529,47,2019
domain,health-human-services,cdc.gov,884390,47,2019
domain,health-human-services,vaccines.gov,5038,47,2019
domain,health-human-services,cdc.gov,1170140,47,2019
domain,health-human-services,vaccines.gov,7790,47,2019
domain,health-human-services,cdc.gov,1244633,47,2019
domain,health-human-services,vaccines.gov,10010,47,2019
domain,health-human-services,cdc.gov,1278106,47,2019
domain,health-human-services,vaccines.gov,11125,47,2019
domain,health-human-services,cdc.gov,1297734,47,2019
domain,health-human-services,vaccines.gov,11310,47,2019
domain,health-human-services,cdc.gov,1280687,47,2019
domain,health-human-services,vaccines.gov,11128,47,2019
domain,health-human-services,cdc.gov,839188,46,2019
domain,health-human-services,vaccines.gov,7135,46,2019
domain,health-human-services,cdc.gov,716552,46,2019
domain,health-human-services,vaccines.gov,5342,46,2019
domain,health-human-services,cdc.gov,1037992,46,2019
domain,health-human-services,vaccines.gov,8345,46,2019
domain,health-human-services,cdc.gov,1236446,46,2019
domain,health-human-services,vaccines.gov,10587,46,2019
domain,health-human-services,cdc.gov,1274986,46,2019
domain,health-human-services,vaccines.gov,11269,46,2019
domain,health-human-services,cdc.gov,1252324,46,2019
domain,health-human-services,vaccines.gov,11003,46,2019
domain,health-human-services,cdc.gov,1136138,46,2019
domain,health-human-services,vaccines.gov,9857,46,2019
domain,health-human-services,cdc.gov,810143,45,2019
domain,health-human-services,vaccines.gov,6915,45,2019
domain,health-human-services,cdc.gov,708344,45,2019
domain,health-human-services,vaccines.gov,5252,45,2019
domain,health-human-services,cdc.gov,1042038,45,2019
domain,health-human-services,vaccines.gov,8106,45,2019
domain,health-human-services,cdc.gov,1218699,45,2019
domain,health-human-services,vaccines.gov,10399,45,2019
domain,health-human-services,cdc.gov,1272976,45,2019
domain,health-human-services,vaccines.gov,11100,45,2019
domain,health-human-services,cdc.gov,1282654,45,2019
domain,health-human-services,vaccines.gov,11140,45,2019
domain,health-human-services,cdc.gov,1295128,45,2019
domain,health-human-services,vaccines.gov,10351,45,2019
