date,report_name,report_agency,domain,visits
2019-12-31 00:00:00,second-level-domain,health-human-services,medlineplus.gov,1088085
2019-12-31 00:00:00,second-level-domain,health-human-services,cdc.gov,653342
2019-12-31 00:00:00,second-level-domain,health-human-services,healthcare.gov,213950
2019-12-31 00:00:00,second-level-domain,health-human-services,fda.gov,191005
2019-12-31 00:00:00,second-level-domain,health-human-services,medicare.gov,120881
2019-12-31 00:00:00,second-level-domain,health-human-services,cms.gov,119931
2019-12-31 00:00:00,second-level-domain,health-human-services,cancer.gov,99673
2019-12-31 00:00:00,second-level-domain,health-human-services,clinicaltrials.gov,92986
2019-12-31 00:00:00,second-level-domain,health-human-services,drugabuse.gov,73829
2019-12-31 00:00:00,second-level-domain,health-human-services,mymedicare.gov,50215
2019-12-31 00:00:00,second-level-domain,health-human-services,hhs.gov,35292
2019-12-31 00:00:00,second-level-domain,health-human-services,nih.gov,29181
2019-12-31 00:00:00,second-level-domain,health-human-services,womenshealth.gov,26260
2019-12-31 00:00:00,second-level-domain,health-human-services,samhsa.gov,23508
2019-12-31 00:00:00,second-level-domain,health-human-services,medicaid.gov,16822
2019-12-31 00:00:00,second-level-domain,health-human-services,ihs.gov,15576
2019-12-31 00:00:00,second-level-domain,health-human-services,health.gov,10079
2019-12-31 00:00:00,second-level-domain,health-human-services,hiv.gov,9676
2019-12-31 00:00:00,second-level-domain,health-human-services,ahrq.gov,9023
2019-12-31 00:00:00,second-level-domain,health-human-services,smokefree.gov,8741
2019-12-31 00:00:00,second-level-domain,health-human-services,healthfinder.gov,8206
2019-12-31 00:00:00,second-level-domain,health-human-services,foodsafety.gov,7879
2019-12-31 00:00:00,second-level-domain,health-human-services,healthypeople.gov,4785
2019-12-31 00:00:00,second-level-domain,health-human-services,hrsa.gov,4148
2019-12-31 00:00:00,second-level-domain,health-human-services,cuidadodesalud.gov,3949
2019-12-31 00:00:00,second-level-domain,health-human-services,girlshealth.gov,3867
2019-12-31 00:00:00,second-level-domain,health-human-services,stopbullying.gov,3629
2019-12-31 00:00:00,second-level-domain,health-human-services,vaccines.gov,3326
2019-12-31 00:00:00,second-level-domain,health-human-services,organdonor.gov,2375
2019-12-31 00:00:00,second-level-domain,health-human-services,usability.gov,2022
2019-12-31 00:00:00,second-level-domain,health-human-services,childcare.gov,1662
2019-12-31 00:00:00,second-level-domain,health-human-services,insurekidsnow.gov,1409
2019-12-31 00:00:00,second-level-domain,health-human-services,mentalhealth.gov,987
2019-12-31 00:00:00,second-level-domain,health-human-services,findtreatment.gov,723
2019-12-31 00:00:00,second-level-domain,health-human-services,healthdata.gov,553
2019-12-31 00:00:00,second-level-domain,health-human-services,collegedrinkingprevention.gov,330
2019-12-31 00:00:00,second-level-domain,health-human-services,recoverymonth.gov,298
2019-12-31 00:00:00,second-level-domain,health-human-services,healthit.gov,106
2019-12-30 00:00:00,second-level-domain,health-human-services,medlineplus.gov,1469988
2019-12-30 00:00:00,second-level-domain,health-human-services,cdc.gov,853542
2019-12-30 00:00:00,second-level-domain,health-human-services,fda.gov,288082
2019-12-30 00:00:00,second-level-domain,health-human-services,healthcare.gov,250405
2019-12-30 00:00:00,second-level-domain,health-human-services,medicare.gov,165102
2019-12-30 00:00:00,second-level-domain,health-human-services,cms.gov,154696
2019-12-30 00:00:00,second-level-domain,health-human-services,cancer.gov,138548
2019-12-30 00:00:00,second-level-domain,health-human-services,clinicaltrials.gov,120885
2019-12-30 00:00:00,second-level-domain,health-human-services,drugabuse.gov,83009
2019-12-30 00:00:00,second-level-domain,health-human-services,mymedicare.gov,62267
2019-12-30 00:00:00,second-level-domain,health-human-services,hhs.gov,47964
2019-12-30 00:00:00,second-level-domain,health-human-services,nih.gov,35753
2019-12-30 00:00:00,second-level-domain,health-human-services,womenshealth.gov,33883
2019-12-30 00:00:00,second-level-domain,health-human-services,samhsa.gov,27797
2019-12-30 00:00:00,second-level-domain,health-human-services,medicaid.gov,22729
2019-12-30 00:00:00,second-level-domain,health-human-services,ihs.gov,18540
2019-12-30 00:00:00,second-level-domain,health-human-services,health.gov,13034
2019-12-30 00:00:00,second-level-domain,health-human-services,ahrq.gov,11895
2019-12-30 00:00:00,second-level-domain,health-human-services,hiv.gov,11521
2019-12-30 00:00:00,second-level-domain,health-human-services,healthfinder.gov,11367
2019-12-30 00:00:00,second-level-domain,health-human-services,smokefree.gov,10022
2019-12-30 00:00:00,second-level-domain,health-human-services,foodsafety.gov,9961
2019-12-30 00:00:00,second-level-domain,health-human-services,cuidadodesalud.gov,6562
2019-12-30 00:00:00,second-level-domain,health-human-services,healthypeople.gov,5660
2019-12-30 00:00:00,second-level-domain,health-human-services,hrsa.gov,5543
2019-12-30 00:00:00,second-level-domain,health-human-services,girlshealth.gov,4942
2019-12-30 00:00:00,second-level-domain,health-human-services,stopbullying.gov,4750
2019-12-30 00:00:00,second-level-domain,health-human-services,vaccines.gov,4734
2019-12-30 00:00:00,second-level-domain,health-human-services,organdonor.gov,3725
2019-12-30 00:00:00,second-level-domain,health-human-services,usability.gov,2886
2019-12-30 00:00:00,second-level-domain,health-human-services,insurekidsnow.gov,2575
2019-12-30 00:00:00,second-level-domain,health-human-services,childcare.gov,2458
2019-12-30 00:00:00,second-level-domain,health-human-services,mentalhealth.gov,1469
2019-12-30 00:00:00,second-level-domain,health-human-services,findtreatment.gov,1042
2019-12-30 00:00:00,second-level-domain,health-human-services,healthdata.gov,841
2019-12-30 00:00:00,second-level-domain,health-human-services,recoverymonth.gov,378
2019-12-30 00:00:00,second-level-domain,health-human-services,collegedrinkingprevention.gov,280
2019-12-30 00:00:00,second-level-domain,health-human-services,locatorplus.gov,135
2019-12-29 00:00:00,second-level-domain,health-human-services,medlineplus.gov,1282366
2019-12-29 00:00:00,second-level-domain,health-human-services,cdc.gov,651714
2019-12-29 00:00:00,second-level-domain,health-human-services,fda.gov,251602
2019-12-29 00:00:00,second-level-domain,health-human-services,cancer.gov,108971
2019-12-29 00:00:00,second-level-domain,health-human-services,healthcare.gov,104050
2019-12-29 00:00:00,second-level-domain,health-human-services,clinicaltrials.gov,88546
2019-12-29 00:00:00,second-level-domain,health-human-services,drugabuse.gov,78982
2019-12-29 00:00:00,second-level-domain,health-human-services,medicare.gov,65317
2019-12-29 00:00:00,second-level-domain,health-human-services,womenshealth.gov,30624
2019-12-29 00:00:00,second-level-domain,health-human-services,mymedicare.gov,28743
